ensembl_gene_id	miRNA_ID	MI
BTN2A1	hsa-mir-181a-1	0.0971117
RGS19	hsa-mir-4787	0.097004
MDP1	hsa-mir-3620	0.0969106
NKG7	hsa-mir-3170	0.0968935
SECISBP2	hsa-mir-4665	0.0968007
TOR4A	hsa-mir-200a	0.0967594
JAK1	hsa-mir-101-2	0.096754
KIAA1671	hsa-mir-130b	0.0967446
PPP1R14C	hsa-mir-653	0.0967358
POLR2C	hsa-mir-1343	0.0967064
SEMA3E	hsa-mir-581	0.0966719
COPS6	hsa-mir-93	0.0966693
FAM229A	hsa-mir-106b	0.0966611
EHD3	hsa-mir-215	0.0966494
USP9Y	hsa-mir-5004	0.0966296
SBK2	hsa-mir-29c	0.0965419
GPCPD1	hsa-mir-665	0.0965377
IL12RB2	hsa-mir-4733	0.096521
AEN	hsa-mir-34a	0.0964464
KLHDC4	hsa-mir-6508	0.0964375
COPS6	hsa-let-7a-1	0.0963594
CCL28	hsa-mir-146a	0.0963593
HSPB7	hsa-mir-181a-1	0.0962416
PUDP	hsa-mir-26a-2	0.0962218
TARDBP	hsa-mir-7-1	0.0962118
ACSL3	hsa-mir-328	0.0961994
RUSF1	hsa-mir-3190	0.0961516
RTN4R	hsa-mir-3653	0.0960874
SH3BP2	hsa-mir-190b	0.0960742
DYNLRB2	hsa-mir-2276	0.0960644
GHRL	hsa-mir-577	0.0959812
EML2	hsa-mir-330	0.0959409
FAM78A	hsa-mir-937	0.0959368
ST20	hsa-mir-301b	0.0958743
WASF2	hsa-mir-455	0.0958301
SLC52A3	hsa-mir-99b	0.0957999
ANKRD20A1	hsa-mir-4640	0.0957915
KLF10	hsa-mir-6806	0.0957721
PANK2	hsa-mir-107	0.0957595
NGFR	hsa-mir-4444-1	0.0957108
ATP11B	hsa-mir-598	0.0957004
GSG1L	hsa-mir-4728	0.0956882
MRPS28	hsa-mir-5694	0.0956812
CST1	hsa-mir-148a	0.0956409
BMP8A	hsa-mir-3152	0.095631
ANAPC10	hsa-mir-6865	0.0956176
RETREG3	hsa-mir-423	0.0955442
CENPH	hsa-mir-543	0.0955245
RPL26	hsa-mir-324	0.095468
GLIPR2	hsa-mir-196b	0.0954655
ALG2	hsa-mir-32	0.095364
MED6	hsa-mir-769	0.0953586
FOCAD	hsa-mir-491	0.095332
ANKRD36B	hsa-mir-3176	0.0952175
CASP6	hsa-mir-6506	0.0951901
NRGN	hsa-mir-361	0.0951665
TIGD1	hsa-mir-1277	0.0951578
CPSF4	hsa-mir-106b	0.0951429
SMS	hsa-mir-942	0.0950526
BBS2	hsa-mir-3191	0.094981
EXOC5	hsa-mir-30d	0.0949206
ARPC3	hsa-mir-6818	0.0948236
NOLC1	hsa-mir-1307	0.0948219
EEF1AKNMT	hsa-mir-125b-2	0.0947822
TUBA8	hsa-mir-548d-2	0.0947645
RRM1	hsa-mir-210	0.0947447
GABARAP	hsa-mir-324	0.0947164
COL1A1	hsa-mir-1914	0.094706
PARVG	hsa-mir-6874	0.0947045
LRRC37A3	hsa-mir-3136	0.0947016
NR3C2	hsa-mir-181b-1	0.0946902
HLA-G	hsa-mir-6875	0.0946787
RTN4R	hsa-mir-362	0.094675
BYSL	hsa-mir-4420	0.0946676
ZFP41	hsa-mir-151a	0.0946226
MIOS	hsa-mir-339	0.094619
TAPBPL	hsa-mir-24-2	0.0945953
UGT3A1	hsa-mir-27b	0.0945572
LDB1	hsa-mir-1307	0.0945484
DCD	hsa-mir-199b	0.0945024
SRSF11	hsa-mir-186	0.0944861
PSPN	hsa-mir-4793	0.0944794
RMDN1	hsa-mir-574	0.0944548
MRPS26	hsa-mir-107	0.0944308
CDAN1	hsa-mir-1266	0.0944232
HORMAD1	hsa-mir-5698	0.0943667
CHAC2	hsa-mir-942	0.0943661
RHPN1	hsa-mir-155	0.0943493
SRPK2	hsa-mir-196a-2	0.0943321
LUC7L2	hsa-mir-29b-1	0.0942481
THBD	hsa-mir-6503	0.0942334
MOCOS	hsa-mir-3127	0.0941305
LAMTOR3	hsa-mir-1245a	0.0941102
CNNM4	hsa-mir-3127	0.0940833
CTDSP2	hsa-mir-26a-2	0.094071
RPN2	hsa-mir-1915	0.0940558
TMED6	hsa-mir-4701	0.0940525
ABITRAM	hsa-mir-32	0.0940319
GATD1	hsa-mir-210	0.0940287
ZSCAN31	hsa-mir-224	0.0939974
SCO1	hsa-mir-324	0.093977
ZNF761	hsa-mir-330	0.0939623
GNB2	hsa-mir-106b	0.093926
APOO	hsa-mir-942	0.0938969
VPS53	hsa-mir-324	0.0938502
MYNN	hsa-mir-4657	0.0938086
TOP3B	hsa-mir-130b	0.0937471
EXD3	hsa-mir-671	0.0936923
MDH1B	hsa-mir-181c	0.093674
VPS28	hsa-mir-151a	0.0936532
MECOM	hsa-mir-212	0.093649
UGT2B4	hsa-mir-3913-2	0.0936389
PLEKHH2	hsa-mir-4651	0.0936123
TNFSF18	hsa-mir-27b	0.0935487
STK35	hsa-mir-107	0.0935346
NPRL3	hsa-mir-671	0.0935346
DCAF1	hsa-let-7g	0.0935302
AMDHD2	hsa-mir-512-2	0.0934938
TLN2	hsa-mir-190a	0.0934631
WDR37	hsa-mir-181b-1	0.0934593
DNPH1	hsa-mir-202	0.0934104
C8orf88	hsa-mir-181c	0.0933846
KRT80	hsa-mir-146a	0.0933524
AP3B2	hsa-mir-664b	0.0933403
MRPS26	hsa-mir-103a-1	0.0933081
LAP3	hsa-mir-4636	0.0933017
CCT3	hsa-mir-374a	0.0932872
YDJC	hsa-mir-130b	0.0932859
GCKR	hsa-mir-320b-2	0.0932804
GKAP1	hsa-mir-6806	0.0932757
PHC3	hsa-mir-199b	0.0932724
UBQLN1	hsa-mir-32	0.0932515
RTL10	hsa-mir-185	0.0932328
ZBTB45	hsa-mir-4701	0.0931529
CHRNB4	hsa-mir-204	0.0930809
SENP3	hsa-mir-324	0.0930542
PITPNB	hsa-mir-4748	0.0930438
CXorf65	hsa-let-7b	0.0930259
CIB2	hsa-mir-204	0.0929763
ZNF646	hsa-mir-3190	0.0929551
STXBP3	hsa-mir-33b	0.0929266
CLDN3	hsa-mir-4756	0.0929207
CSF3R	hsa-mir-377	0.0928524
MID1IP1	hsa-mir-6844	0.0928508
SIAH2	hsa-mir-217	0.0928492
MED19	hsa-mir-9-2	0.0928229
BAZ1B	hsa-mir-106b	0.0928155
EHD4	hsa-mir-30d	0.0927872
CUEDC1	hsa-mir-4677	0.0927782
BRPF3	hsa-mir-1181	0.0927676
NBPF3	hsa-mir-940	0.0927403
DDB2	hsa-mir-1306	0.0927323
CCDC88B	hsa-mir-4658	0.0927236
NONO	hsa-mir-361	0.0927201
EIF2AK4	hsa-mir-1266	0.0927074
LRRC42	hsa-mir-153-1	0.0927028
PPP1R14D	hsa-mir-26a-1	0.0927014
VSIG8	hsa-mir-6805	0.0926661
P4HTM	hsa-mir-181c	0.0926647
ITPA	hsa-mir-1266	0.0926606
