ensembl_gene_id	miRNA_ID	MI
SIPA1L2	hsa-mir-3680-2	0.20641
APBB1IP	hsa-mir-4726	0.206358
SGSH	hsa-mir-4662a	0.206327
MOSPD2	hsa-mir-301b	0.206318
IBSP	hsa-mir-103a-1	0.20628
TLDC2	hsa-mir-548aw	0.206265
PHIP	hsa-mir-449a	0.206221
IGDCC3	hsa-mir-4701	0.206209
XPA	hsa-mir-486-1	0.206135
ZNF324B	hsa-mir-382	0.206118
WDR1	hsa-mir-203a	0.205865
MBTPS2	hsa-mir-550a-1	0.205803
OR2I1P	hsa-mir-2355	0.20564
NFAT5	hsa-mir-767	0.205593
SLC16A4	hsa-mir-4793	0.205587
CLEC10A	hsa-mir-6877	0.205445
MEPE	hsa-mir-103a-1	0.205301
ODF2	hsa-mir-7-3	0.205257
ARL11	hsa-mir-222	0.205237
SYDE2	hsa-mir-30e	0.205145
PTPN20	hsa-mir-28	0.205087
CSDC2	hsa-mir-874	0.204944
TYW1	hsa-mir-128-1	0.204796
LSR	hsa-mir-374a	0.204607
NEIL3	hsa-mir-1270	0.204606
GRK7	hsa-mir-374c	0.204524
HCAR2	hsa-mir-196b	0.204426
CGRRF1	hsa-mir-526b	0.204323
SLC44A2	hsa-mir-376a-1	0.204284
BMP1	hsa-mir-6718	0.204279
OSCP1	hsa-mir-28	0.204092
CNKSR1	hsa-mir-3934	0.204043
ALOX12	hsa-mir-548b	0.20404
POP7	hsa-mir-93	0.204037
PLS3	hsa-mir-3126	0.204006
DMP1	hsa-mir-103a-2	0.203992
CLYBL	hsa-mir-30d	0.203805
CTBP2	hsa-mir-3615	0.203803
DHX8	hsa-mir-5695	0.203777
REC8	hsa-mir-181d	0.203716
HOXB13	hsa-mir-3188	0.203626
HOXA10	hsa-mir-196b	0.203312
C5	hsa-mir-34a	0.203178
SFRP1	hsa-mir-135b	0.203173
KDM3A	hsa-mir-18a	0.20313
HECTD4	hsa-mir-766	0.20312
PLAC8L1	hsa-mir-605	0.20295
CAPN3	hsa-mir-6854	0.202734
ARX	hsa-mir-299	0.202573
S100B	hsa-mir-641	0.202456
P3H3	hsa-mir-32	0.202401
ALDH4A1	hsa-mir-550a-1	0.202298
BHLHA15	hsa-mir-1181	0.202288
ZSCAN10	hsa-mir-6514	0.202263
ABCA8	hsa-mir-204	0.202154
