ensembl_gene_id	miRNA_ID	MI
KCNN3	hsa-mir-148a	0.109661
ZSCAN25	hsa-mir-106b	0.109633
SEC23A	hsa-mir-141	0.109571
DONSON	hsa-mir-4640	0.109556
BIVM	hsa-mir-17	0.109551
ERAL1	hsa-mir-423	0.109528
ZNF577	hsa-mir-99b	0.109524
CHN1	hsa-mir-3926-1	0.109523
RAB41	hsa-mir-660	0.109502
MARK3	hsa-mir-6511b-2	0.109441
PGBD4	hsa-mir-6818	0.109395
DSTYK	hsa-mir-6818	0.109357
GOLGA7B	hsa-mir-486-1	0.10929
FAM13A	hsa-mir-576	0.10921
MYG1	hsa-mir-148b	0.109145
RPL9	hsa-mir-574	0.109047
EIF2B1	hsa-mir-1180	0.108974
GRWD1	hsa-mir-769	0.108928
MON1A	hsa-mir-191	0.10888
OPA1	hsa-mir-375	0.108851
SGK2	hsa-mir-199a-2	0.108674
MMADHC	hsa-mir-128-1	0.108583
CARHSP1	hsa-mir-512-1	0.108563
LEF1	hsa-mir-146b	0.1085
ATF1	hsa-mir-1914	0.10847
TEX35	hsa-mir-6824	0.108469
KCTD1	hsa-mir-99a	0.108455
ATXN7L2	hsa-mir-197	0.108434
PKMYT1	hsa-mir-660	0.108384
DNAJC14	hsa-mir-148b	0.108358
GFI1	hsa-mir-542	0.108347
ZCCHC3	hsa-mir-103a-2	0.108336
APPL2	hsa-mir-2276	0.108335
RAB24	hsa-mir-3157	0.108332
CXCL1	hsa-mir-223	0.108317
CCDC149	hsa-mir-708	0.10831
ARMC8	hsa-mir-497	0.108307
UGGT1	hsa-mir-128-1	0.108282
CLCN5	hsa-mir-362	0.108257
PCED1B	hsa-mir-497	0.108194
LARS2	hsa-mir-191	0.108105
TMEM126A	hsa-mir-222	0.108098
UNC93A	hsa-mir-330	0.108079
CNN1	hsa-mir-34a	0.108075
CLEC2B	hsa-mir-181a-2	0.108051
ZC2HC1A	hsa-mir-151b	0.107983
ZP3	hsa-mir-4658	0.107965
PITPNM1	hsa-mir-1247	0.107953
IFT81	hsa-mir-194-2	0.10791
ERC1	hsa-mir-141	0.107897
SLC46A1	hsa-mir-5695	0.107874
ZBTB8B	hsa-mir-1468	0.107865
PXMP4	hsa-mir-320b-1	0.107865
EXOSC7	hsa-mir-191	0.107755
RANBP1	hsa-mir-1306	0.107717
COQ3	hsa-mir-151a	0.107707
HPS4	hsa-mir-6734	0.107696
PSMC5	hsa-mir-26a-1	0.107643
FER1L5	hsa-mir-497	0.107558
CTSL	hsa-mir-329-2	0.107558
FAM104B	hsa-mir-532	0.107533
CCNL2	hsa-mir-200b	0.107523
SYN2	hsa-mir-335	0.107517
CNEP1R1	hsa-mir-7110	0.107481
SLC25A33	hsa-mir-3150b	0.107478
TRAPPC1	hsa-mir-324	0.107421
ZCCHC3	hsa-mir-103a-1	0.107388
SMIM10L1	hsa-mir-200c	0.107373
UTS2	hsa-mir-18a	0.107363
TBC1D9B	hsa-mir-340	0.107362
EXTL3	hsa-mir-378c	0.107353
EMC10	hsa-let-7e	0.107294
SGK2	hsa-mir-199b	0.107223
CLDN8	hsa-mir-3127	0.107214
CCDC32	hsa-mir-409	0.107144
CARS2	hsa-mir-20a	0.10708
GNB2	hsa-mir-25	0.107014
THRSP	hsa-mir-151a	0.106955
ZNF678	hsa-mir-16-2	0.106952
RIF1	hsa-mir-150	0.106945
CXCL9	hsa-mir-424	0.10689
GOLPH3	hsa-mir-579	0.106847
CDC16	hsa-mir-20a	0.106831
EIF3F	hsa-mir-664a	0.106762
PCDH7	hsa-mir-6824	0.106759
DOCK3	hsa-mir-4787	0.106743
ZNF699	hsa-mir-330	0.106694
PIGC	hsa-mir-874	0.106692
FRYL	hsa-mir-26a-2	0.106666
C1orf52	hsa-mir-186	0.106656
IGFLR1	hsa-mir-342	0.1066
RIPK4	hsa-mir-3127	0.106582
CXCL5	hsa-mir-223	0.106545
EXTL1	hsa-mir-1468	0.10653
CCDC117	hsa-mir-145	0.106529
TPPP	hsa-mir-3152	0.106518
VSTM5	hsa-mir-580	0.106512
ADAMTS18	hsa-mir-320c-1	0.106509
COMP	hsa-mir-552	0.106482
ZDHHC24	hsa-mir-503	0.106456
PNMA6A	hsa-mir-145	0.106439
TECPR1	hsa-mir-106b	0.106423
FAM168B	hsa-mir-128-1	0.106415
TAF6	hsa-mir-93	0.10641
IWS1	hsa-mir-128-1	0.106248
PPIL6	hsa-mir-181c	0.106195
A1BG	hsa-mir-505	0.106156
GPR63	hsa-mir-128-2	0.106126
TLR6	hsa-mir-4741	0.106083
FAM222A	hsa-mir-30b	0.106023
PCK1	hsa-mir-200a	0.106011
PIM2	hsa-mir-29c	0.105983
SNAP29	hsa-mir-6758	0.105911
CXCR6	hsa-mir-4461	0.105894
CTTNBP2NL	hsa-mir-197	0.105891
ZNF724	hsa-mir-3200	0.105858
PRPF3	hsa-mir-23a	0.105803
KRT8	hsa-mir-5581	0.105793
FOSL1	hsa-mir-1915	0.105779
ZNF428	hsa-mir-769	0.105729
TPI1	hsa-mir-141	0.105726
NAT1	hsa-mir-30d	0.105631
SLC12A9	hsa-mir-147b	0.105469
ZNF286A	hsa-mir-1260b	0.105467
ZNF174	hsa-mir-940	0.105462
CLSTN3	hsa-mir-200c	0.105399
SLAMF7	hsa-mir-486-2	0.105395
FPR2	hsa-mir-3157	0.105387
CACNG6	hsa-mir-6738	0.105379
ARPC1A	hsa-mir-25	0.105316
TCF20	hsa-mir-33a	0.105277
ALKBH4	hsa-mir-25	0.105271
VMO1	hsa-mir-5002	0.105202
SLC4A8	hsa-mir-505	0.105137
STIMATE	hsa-mir-452	0.104947
C17orf80	hsa-mir-6854	0.104914
TBX3	hsa-mir-93	0.104909
DPM1	hsa-mir-3178	0.104829
RYK	hsa-mir-552	0.104775
MAML3	hsa-mir-656	0.104771
SELENOF	hsa-mir-197	0.104752
COX10	hsa-mir-423	0.104748
KRT28	hsa-mir-497	0.104744
TULP3	hsa-mir-200c	0.104721
PHC1	hsa-mir-200c	0.104673
PUS7	hsa-mir-93	0.104673
ICOS	hsa-mir-4461	0.104645
TMEM35B	hsa-mir-548f-1	0.104624
ECM1	hsa-mir-937	0.104621
FLT4	hsa-mir-1910	0.10462
JADE1	hsa-mir-26b	0.104597
ARNTL	hsa-mir-3682	0.104586
KCNA3	hsa-mir-29c	0.104471
DGKZ	hsa-mir-1224	0.104463
CNTF	hsa-mir-940	0.104438
SDAD1	hsa-mir-500a	0.104407
HOXB1	hsa-mir-30c-2	0.104393
WDR47	hsa-mir-197	0.104391
ASPH	hsa-mir-526b	0.104389
NDUFAF8	hsa-mir-449a	0.10436
TLCD3A	hsa-mir-580	0.104333
CCNL1	hsa-mir-200b	0.104311
VIRMA	hsa-mir-376b	0.104297
PPIL2	hsa-mir-1287	0.104292
POLR3E	hsa-mir-532	0.104278
CKAP2	hsa-mir-15a	0.104229
ENC1	hsa-mir-320a	0.104193
DYNC2I2	hsa-mir-6510	0.104188
USP45	hsa-mir-128-2	0.104123
CLSTN3	hsa-mir-141	0.104078
CHST8	hsa-mir-579	0.104057
SNX29	hsa-mir-424	0.104029
TBX2	hsa-mir-187	0.103993
CAPZA1	hsa-mir-197	0.103977
BCDIN3D	hsa-mir-148b	0.103974
TMEM65	hsa-mir-500a	0.103969
UBE2T	hsa-mir-330	0.103962
ACCS	hsa-mir-125b-2	0.103946
SAR1B	hsa-mir-187	0.103902
NLRP6	hsa-let-7a-3	0.103839
WDR19	hsa-mir-4715	0.103824
VWA3B	hsa-mir-27a	0.103816
TRIM45	hsa-mir-584	0.103812
FRYL	hsa-mir-26a-1	0.103756
REEP4	hsa-mir-320a	0.10375
MTUS1	hsa-mir-3074	0.10368
PHF20L1	hsa-mir-30d	0.103657
JCAD	hsa-mir-1260b	0.103649
NTMT1	hsa-mir-6844	0.103531
PTPRZ1	hsa-mir-20b	0.103458
LCTL	hsa-mir-4715	0.103456
ACTR1A	hsa-mir-378c	0.103427
CDHR2	hsa-mir-16-1	0.103266
LBH	hsa-mir-486-1	0.103223
CD80	hsa-mir-501	0.103218
PHF23	hsa-mir-324	0.103201
HADH	hsa-mir-576	0.103183
