ensembl_gene_id	miRNA_ID	MI
C17orf100	hsa-mir-324	0.0573138
H2BU1	hsa-mir-4666a	0.0573052
SEPTIN6	hsa-mir-766	0.0572534
GIGYF1	hsa-mir-106b	0.0571742
MFAP3	hsa-mir-200a	0.0570448
EEF1A2	hsa-mir-4793	0.0570357
DDX19A	hsa-mir-328	0.0570236
OPA3	hsa-mir-330	0.0569235
RANBP10	hsa-mir-328	0.0568985
CXCR3	hsa-mir-150	0.0568967
TMEM245	hsa-mir-32	0.056748
FABP6	hsa-mir-4793	0.0567184
PSMA5	hsa-mir-197	0.0566585
POLDIP2	hsa-mir-423	0.0566255
CYB561D2	hsa-mir-191	0.0565706
NFYC	hsa-mir-30e	0.0565322
MINK1	hsa-mir-324	0.0562688
PSME3IP1	hsa-mir-328	0.056213
NCR3	hsa-mir-150	0.0561156
DUSP18	hsa-mir-185	0.0560509
HDAC8	hsa-mir-3936	0.0559276
CELSR3	hsa-mir-4793	0.0558568
SPC24	hsa-mir-4666a	0.0558521
KIF1A	hsa-mir-3617	0.0558392
CKAP2	hsa-mir-15a	0.0557339
CHRNB4	hsa-mir-4793	0.0556777
TBC1D10C	hsa-mir-150	0.0556113
MED25	hsa-mir-125a	0.055556
WDR82	hsa-mir-191	0.0555452
TNK1	hsa-mir-324	0.0554662
GDAP1L1	hsa-mir-338	0.0554028
NISCH	hsa-mir-191	0.0553727
USP7	hsa-mir-210	0.0553404
TIAL1	hsa-mir-1307	0.0552339
SKA2	hsa-mir-454	0.0551594
KIF1C	hsa-mir-744	0.0551559
LRRC71	hsa-mir-5004	0.0549708
BTG4	hsa-mir-34c	0.0549358
DHX30	hsa-mir-191	0.0549071
FGD6	hsa-mir-301a	0.0548923
UNC119B	hsa-mir-4523	0.0548212
CPLX2	hsa-mir-4793	0.0548195
ARMH3	hsa-mir-1307	0.0547758
MIS12	hsa-mir-324	0.0546807
COPS6	hsa-mir-106b	0.0546437
SETD6	hsa-mir-328	0.0546197
CD38	hsa-mir-3667	0.0545625
ATP5F1D	hsa-mir-18a	0.0545552
NIN	hsa-mir-561	0.0545363
PLAC1	hsa-mir-3936	0.0544863
KLHDC9	hsa-mir-664a	0.0542574
KANSL3	hsa-mir-3127	0.0542547
PRRC2A	hsa-mir-629	0.0542356
MTHFSD	hsa-mir-328	0.0541302
AAGAB	hsa-mir-1266	0.0541262
GLYATL3	hsa-mir-4793	0.0540632
PPM1A	hsa-mir-625	0.0540485
ZNF197	hsa-mir-191	0.0540376
CLVS1	hsa-mir-4793	0.0540099
MED15	hsa-mir-3140	0.0540034
PIP4P2	hsa-mir-4793	0.0539966
POLN	hsa-mir-2114	0.0539912
KMT2C	hsa-mir-106b	0.0539908
IMPDH2	hsa-mir-191	0.0539294
BECN1	hsa-mir-423	0.0538422
PKMYT1	hsa-mir-4666a	0.0538326
TP53	hsa-mir-324	0.053817
NAA38	hsa-mir-324	0.0537872
B9D1	hsa-mir-1180	0.0537864
JUP	hsa-mir-423	0.0537715
KCNT1	hsa-mir-4793	0.0537597
MRM3	hsa-mir-132	0.0537246
E2F4	hsa-mir-328	0.0537099
KIAA1143	hsa-let-7g	0.0535977
SLC30A7	hsa-mir-186	0.0535258
ZKSCAN1	hsa-mir-93	0.0535247
CYSLTR2	hsa-mir-4658	0.0534968
PINX1	hsa-mir-107	0.053496
SLC25A39	hsa-mir-423	0.0534888
ZNF3	hsa-mir-93	0.0534775
PDE4D	hsa-mir-582	0.0534681
CDHR4	hsa-mir-5004	0.0534237
ACADVL	hsa-mir-744	0.053387
NPIPB13	hsa-mir-4482	0.0533728
MT1G	hsa-mir-4793	0.0533679
PRPF8	hsa-mir-22	0.0532955
RBM6	hsa-mir-191	0.053259
RSPH4A	hsa-mir-5004	0.0532589
KCTD5	hsa-mir-210	0.0532185
YTHDF2	hsa-mir-1976	0.0531991
BRD7	hsa-mir-545	0.0531977
TAX1BP3	hsa-mir-324	0.0531536
MYBBP1A	hsa-mir-744	0.0531444
THOC7	hsa-mir-191	0.0531361
VPREB3	hsa-mir-150	0.0530974
C17orf49	hsa-mir-195	0.0530637
PNKD	hsa-mir-23b	0.0530616
CD93	hsa-mir-126	0.0530562
CDK5RAP3	hsa-mir-423	0.0530504
GLT8D1	hsa-let-7g	0.0530504
HOXB1	hsa-mir-10a	0.0530031
LTB	hsa-mir-150	0.0529996
KCNJ3	hsa-mir-497	0.0529712
CCDC160	hsa-mir-363	0.0529499
TSR1	hsa-mir-324	0.0529065
ADGRF5	hsa-mir-126	0.0528793
VPS41	hsa-mir-589	0.0528627
PNPLA4	hsa-mir-651	0.0528552
SYNPO	hsa-mir-6758	0.0528143
SV2A	hsa-mir-6834	0.0527675
P4HTM	hsa-mir-191	0.0527496
AVPR2	hsa-mir-4715	0.0527402
ANP32A	hsa-mir-1266	0.0527354
PRKD2	hsa-mir-330	0.0526988
LDAH	hsa-mir-598	0.0526334
SAT2	hsa-mir-324	0.052609
GPR65	hsa-mir-1269a	0.0525947
AP1G1	hsa-mir-328	0.0525769
PEX1	hsa-mir-93	0.05256
CCL19	hsa-mir-150	0.0525096
RPH3AL	hsa-mir-324	0.0524618
NAE1	hsa-mir-328	0.0524022
CSNK2A2	hsa-mir-328	0.0523718
SLC35A3	hsa-mir-186	0.0523696
RPN1	hsa-mir-181a-1	0.0522733
